Year;Age Groups;Nationality;Gender;Population
2016;75 - 79;Non-Saudi;Male;15320
2017;25 - 29;Saudi;Male;979569
2017;55 - 59;Saudi;Male;342010
2017;60 - 64;Saudi;Male;247814
2016;45 - 49;Non-Saudi;Male;946332
2016;55 - 59;Non-Saudi;Male;385823
2017;75 - 79;Saudi;Female;72831
2017;30 - 34;Non-Saudi;Female;435030
2018;30 - 34;Non-Saudi;Male;1001237
2018;20 - 24;Non-Saudi;Female;223588
2016;5 - 9;Non-Saudi;Male;349437
2018;55 - 59;Saudi;Male;348081
2016;5 - 9;Saudi;Female;1025746
2016;15 - 19;Non-Saudi;Male;235852
2016;20 - 24;Non-Saudi;Female;206601
2017;10 - 14;Non-Saudi;Female;283506
2017;55 - 59;Non-Saudi;Female;67287
2017;70 - 74;Non-Saudi;Female;19175
2018;45 - 49;Saudi;Female;529550
2018;60 - 64;Saudi;Female;235932
2018;60 - 64;Non-Saudi;Male;222927
2018;55 - 59;Non-Saudi;Female;69675
2016;55 - 59;Saudi;Female;308905
2017;0 - 4;Saudi;Male;1106701
2017;30 - 34;Non-Saudi;Male;963851
2017;0 - 4;Non-Saudi;Female;273329
2017;5 - 9;Non-Saudi;Female;347698
2018;35 - 39;Non-Saudi;Male;1470571
2018;75 - 79;Non-Saudi;Male;16526
2018;15 - 19;Non-Saudi;Female;237191
2018;80+;Non-Saudi;Female;6876
2016;0 - 4;Non-Saudi;Female;261520
2017;80+;Saudi;Male;85285
2017;30 - 34;Saudi;Female;866771
2018;45 - 49;Non-Saudi;Female;283517
2018;70 - 74;Non-Saudi;Male;35395
2016;40 - 44;Saudi;Male;643959
2016;50 - 54;Saudi;Female;407708
2017;45 - 49;Saudi;Male;550260
2017;10 - 14;Non-Saudi;Male;298963
2017;70 - 74;Non-Saudi;Male;34081
2017;40 - 44;Non-Saudi;Female;509983
2018;10 - 14;Saudi;Male;979511
2018;5 - 9;Saudi;Female;1060664
2018;30 - 34;Saudi;Female;881961
2018;25 - 29;Non-Saudi;Male;764993
2016;0 - 4;Saudi;Female;1048877
2017;10 - 14;Saudi;Female;937211
2018;15 - 19;Saudi;Male;926156
2018;20 - 24;Non-Saudi;Male;300596
2017;70 - 74;Saudi;Male;110039
2016;65 - 69;Non-Saudi;Male;71669
2016;10 - 14;Saudi;Female;921048
2016;60 - 64;Saudi;Female;227960
2016;65 - 69;Saudi;Female;156808
2016;25 - 29;Non-Saudi;Female;418649
2016;55 - 59;Non-Saudi;Female;64380
2017;5 - 9;Saudi;Male;1081142
2017;15 - 19;Saudi;Female;880048
2018;75 - 79;Saudi;Male;72990
2016;60 - 64;Saudi;Male;243696
2016;80+;Non-Saudi;Male;12122
2018;5 - 9;Non-Saudi;Female;360021
2016;40 - 44;Non-Saudi;Male;1286648
2016;35 - 39;Non-Saudi;Female;535049
2016;40 - 44;Non-Saudi;Female;487949
2017;15 - 19;Saudi;Male;911303
2017;20 - 24;Saudi;Male;1054864
2017;40 - 44;Saudi;Female;630501
2017;55 - 59;Saudi;Female;314325
2017;15 - 19;Non-Saudi;Male;245053
2017;15 - 19;Non-Saudi;Female;229068
2018;50 - 54;Non-Saudi;Male;695508
2018;65 - 69;Non-Saudi;Female;30741
